"","Gras","PCDF","InDF","PJW","PIPO","Salp","Mixd","Hdwd","CaCr","DeSc","MMsh","Sgbr","Shsp","D2WUI","D2Rd","RiverD","DEM","Slop","P90Ao","PPAo","PWAo","PAo","PP2GAo","T90Mn","T90Ao","TPAo","TWAo","TAo","TP2GAo","WMx","WMn","H90Ao","HAo","HPAo","HWAo","LOshp","Calacre_ha","FSH","FSH_PRO"
"1",0,0,0.002020202,0.011111111,0,0,0.000505051,0.001010101,0,0,0.000505051,0.534848485,0.272727273,3673.446395,8947.644043,0.084338889,1531.184442,7.798377932,-0.462435947855314,0.40423765155225,0.175700330461552,-0.815223695710301,-0.404522119199528,23.574345228407,8.54944193098299,-0.261770223480028,10.353755022186,11.710323015849,0.112177019805017,7.36877059936523,4.23321889340878,-9.85631139013502,-18.8389036158721,3.98681256038691,-8.50210002201056,1,5205.866566,226.44,0.043497081
"2",0.605882353,0,0.1,0.041176471,0.147058824,0,0,0,0,0,0,0.047058824,0,4769.503225,4292.647282,0.14043973,800.6860042,3.44282881,-0.605484584967295,-0.0840797734026815,-0.631431908584108,-1.0383437871933,-0.272976319189944,25.010726928711,8.92892837524403,0.470577414519028,9.49153917599301,10.454064687093,-0.841721727957008,4.80339527130127,3.31618120272954,-10.2820501327515,-18.2688778241475,-1.19316577911377,-12.1323881149292,2,472.0496886,0,0
"3",0.239612188,0.000692521,0.090027701,0.11611265,0.260156971,0,0.024930748,0.005771006,0,0.00023084,0,0.105955679,0.005540166,5305.782535,9689.95614,0.139374254,773.4442183,17.92175239,-0.592311924033695,-0.0756028824382358,-0.7307358317905,-0.541905311601503,-0.220491581298167,24.850181749132,8.72612016465899,0.644817302429999,9.75299067279099,8.12627556210498,-0.673472859500976,5.80432987213135,3.13821266378675,-9.29119016859266,-5.21135738917759,-3.3271920821246,-14.2731073042926,1,12536.09173,0,0
"4",0.789473684,0,0.073684211,0.052631579,0.063157895,0,0,0,0,0,0,0.015789474,0,3876.37097,9162.4548,0.139857866,827.6804894,1.209935167,-0.518634654084841,-0.0684494491106544,-0.584844094086317,-1.01103091239929,-0.211434644616507,24.593120320638,8.600750668844,0.149535397299019,9.13275740504997,8.75349267323799,-1.22874773561603,5.61241674423218,3.47527325153351,-10.4308365080092,-17.4982004165649,-2.5640027476292,-13.6096265269261,1,716.939527,0,0
"5",0.131313131,0,0.080808081,0.005050505,0.202020202,0,0.242424242,0.03030303,0,0,0,0.136363636,0.015151515,2045.091101,5106.386173,0.144023463,862.4212043,12.17118195,-0.613106360038122,-0.0786944845922632,-0.784618757129495,-1.22330444306135,-0.258732729877522,23.638391113281,8.50599250793499,0.667171852260992,9.42787780013703,8.22331275939899,-0.744917576608998,5.95552635192871,3.54267379641533,-9.46347357432047,-11.363992023468,-2.65583201015697,-13.4162804659675,1,615.2395941,0,0
"6",0,0,0,0.166666667,0.011111111,0,0,0.069444444,0.177777778,0.091666667,0,0.263888889,0,7362.549159,6735.836049,0.05917052,1639.486858,24.47431286,-0.776621978150474,-0.114582589346599,-0.774567937928867,-0.808452904224396,-0.084302845441438,24.962250773112,5.66160113016798,0.227113948148997,9.64484237222098,13.076138178508,0.412298003053024,3.98309087753296,3.20396642883619,-4.23111784193251,-11.0462666551272,-1.38785498438318,-7.61442129908044,1,806.6694678,58.41,0.072408839
"7",0,0,0,0.066666667,0,0,0,0.244444444,0.244444444,0.066666667,0,0.088888889,0,8146.699067,8100.189144,0.060252286,1358.420329,24.6726556,-0.63583015733295,-0.114197722739644,-0.62749672598309,-0.660406529903412,-0.0855883210897446,26.559171549479,5.251939646403,0.538652781567976,9.72068250568901,14.251266479492,0.401992274265979,4.12958669662476,3.40716367959976,-3.49872645272149,-8.7681582570076,-1.49412563112047,-7.57020213868883,3,460.3496963,20.7,0.044965817
"8",0,0,0,0,0,0,0,0.018315018,0.827838828,0.058608059,0,0,0,7120.788414,1766.744606,0.072392679,617.448635,8.187572674,0.0653938233852387,-0.0424235442202855,-0.680739959470587,-0.704509794712067,-0.0641026670734088,18.724518500434,-5.23385361565499,0.916402592378972,8.51407410116798,0.372094018119014,1.02949854283497,5.05394887924194,3.61438274383545,9.76289208730062,-0.656484876360214,-3.83654926960764,-11.4673552388459,1,868.2294272,0,0
"9",0.01010101,0,0,0,0,0,0,0,0.747474747,0.222222222,0,0,0,16801.20502,12012.2265,0.067627102,695.3590735,5.605889306,-0.189639817012681,-0.0804341101373722,-0.716994982334523,-0.727844655513763,-0.0912837833166122,18.203662787543,-3.871769036187,2.22305852603301,9.86236936282501,2.22730255126999,2.33932631000198,3.69179487228394,2.76599319775899,10.7490754445394,-1.88121223449707,-3.74318213244669,-10.8064069249272,1,431.0997156,0,0
"10",0.138194444,0,0,0.123611111,0,0,0,0.026388889,0,0,0,0.685416667,0,16514.64927,12607.22803,0.096632251,1860.296956,9.947989145,-0.332222793168492,-0.188810848527484,-0.492515169911914,-0.632328564922015,-0.310497482812483,18.735325453017,4.84862100813098,0.711811925851009,9.58284559436902,11.077005068461,0.528480068530996,6.2200493812561,3.65342471003532,-6.27111214531793,-16.4604193965594,-1.08255552778057,-12.3664395762425,2,4144.587266,0,0
"11",0,0,0.027472527,0.543956044,0.153846154,0,0,0.005494505,0,0.021978022,0.010989011,0.186813187,0.005494505,24337.31712,11394.9983,0.154938094,2139.422096,12.35471859,-0.0664591511090596,0.0602236051185459,0.126134600125107,-0.451252666386691,-0.156032918715009,22.940121799045,7.50187984042702,-1.11943694968602,9.59556892494697,17.402700424194,-0.499413110071998,4.50525951385498,2.66285090012984,-10.4747446537018,-12.8286512548273,2.14466270745969,-7.86549392401004,2,497.249672,38.16,0.076742132
"12",0,0,0,0.005175983,0,0,0,0,0,0.007246377,0,0.97515528,0,16978.29444,15852.81018,0.175721856,1988.481384,4.149935747,-0.209488688906034,-0.0761845739059199,-0.0786618621520747,-0.555332630872726,-0.135983790252723,26.628979153103,12.539247936673,-0.907008788165001,9.716141083661,13.350782394409,-1.00272846845201,3.9890992641449,3.06015795469284,-11.4806829505497,-12.4223620891571,3.24063155230354,-6.20974877301384,2,3329.277804,0,0
"13",0,0,0.117408907,0.279352227,0.291497976,0,0.012145749,0.060728745,0,0,0.137651822,0.028340081,0,3908.004879,2659.105818,0.14837769,2330.716708,18.14602595,0.0751461115148333,-0.316162579005061,-0.231197349970637,-0.455239561200142,-0.50977446538171,8.901263766819,-5.39474720425102,-0.344701430376972,8.21655688566301,10.222581645421,-0.255518894570002,8.7774133682251,3.84827984571457,2.725862704383,-7.7387019429888,0.803099295672247,-3.86326155943029,1,910.5293993,130.14,0.14292784
